id,frequency,recency,T,monetary_value
12346,0,0,690.2422,77184
12347,161,365,367.2422,3653
12348,26,283,440.2422,1437
12349,67,0,383.2422,1372
12350,12,0,675.2422,258
12352,75,260,401.2422,1373
12353,3,0,569.2422,89
12354,56,0,597.2422,1063
12355,8,0,579.2422,363
12356,54,303,387.2422,2407
12357,117,0,398.2422,5482
12358,9,149,366.2422,342
12359,240,274,422.2422,6205
12360,118,148,417.2422,2118
12361,8,0,652.2422,175
12362,243,292,368.2422,4520
12363,22,133,474.2422,552
12364,74,105,372.2422,1133
12365,18,0,656.2422,284
12367,9,0,369.2422,151
12370,150,309,416.2422,2975
12371,51,0,424.2422,1304
12372,45,225,436.2422,1165
12373,11,0,676.2422,305
12374,30,0,390.2422,589
12375,11,88,375.2422,286
12377,71,39,680.2422,1461
12378,205,0,494.2422,3794
12379,35,89,446.2422,740
12380,87,164,386.2422,2192
12381,78,115,369.2422,1419
12383,86,168,549.2422,1498
12384,21,93,393.2422,372
12386,9,29,702.2422,402
12388,88,311,380.2422,2525
12390,29,0,444.2422,494
12391,95,0,386.2422,420
12393,60,260,437.2422,1521
12394,24,154,428.2422,1080
12395,140,352,384.2422,2646
12397,122,100,400.2422,2200
12398,79,0,410.2422,1381
12399,54,142,484.2422,1034
12401,1,0,668.2422,36
12402,8,0,688.2422,176
12403,0,0,414.2422,10
12405,45,0,513.2422,1193
12406,97,161,387.2422,2965
12407,59,215,414.2422,1309
12408,95,228,397.2422,2538
12409,104,104,443.2422,10666
12410,24,0,673.2422,533
12412,53,95,439.2422,1092
12413,30,271,431.2422,589
12414,10,93,582.2422,264
12415,687,313,389.2422,121266
12417,164,354,368.2422,2977
12418,32,0,477.2422,636
12420,27,0,428.2422,586
12421,34,304,380.2422,517
12422,35,229,460.2422,654
12423,99,353,365.2422,1429
12424,29,0,527.2422,1761
12425,32,0,443.2422,727
12426,27,0,559.2422,508
12427,27,350,386.2422,700
12428,233,258,390.2422,5180
12429,85,356,374.2422,3213
12430,9,0,408.2422,216
12431,209,338,400.2422,5907
12432,93,130,407.2422,3242
12433,390,373,365.2422,12574
12434,47,176,449.2422,773
12435,35,188,444.2422,7830
12436,12,0,464.2422,331
12437,180,330,366.2422,4396
12438,31,126,379.2422,379
